Entity,Log of Terrestrial Protected areas,Log of Venom Encounters,Log of Total Endemic Species + 1,Log of Population Density
Eswatini,1.4429129,5.581599382,0,4.18045825
Ethiopia,2.916416318,5.863050777,4.430816799,4.545624621
Fiji,1.688470302,5.673959378,3.737669618,3.871771
Finland,2.70960177,4.520998004,0,2.897231203
France,3.250063048,4.387444065,1.609437912,4.805757001
Gabon,3.110967892,5.469977773,2.079441542,2.081114764
Gambia,1.412780991,5.566281138,0,5.387997281
Georgia,2.120295194,4.945614174,0,4.177808886
Germany,3.631036415,4.311874049,0,5.466323286
Ghana,2.711868223,5.517190825,1.945910149,4.851904729
Greece,3.561510204,4.381296594,1.791759469,4.424059285
Greenland,3.717311465,4.907108864,0,-1.988835707
Grenada,2.280084664,4.665808047,1.945910149,5.787204083
Guam,3.112142709,5.454009922,1.945910149,5.717764516
Guatemala,2.998123367,4.691449747,4.219507705,5.01146971
Guinea,3.573642381,5.610176434,2.564949357,3.894079817
Guinea-Bissau,2.813169901,5.59762042,0,4.174576551
Guyana,2.167622598,5.167684804,3.36729583,1.370702263
Haiti,0.667769361,4.905017771,4.094344562,5.987680819
Saint Vincent and the Grenadines,3.109936568,4.738330315,1.945910149,5.640505835
Samoa,1.994643849,5.782978961,2.48490665,4.234557061
Sao Tome and Principe,3.376081599,5.535101708,3.784189634,5.37395616
Saudi Arabia,1.560274378,5.021232248,1.098612289,2.734245376
Senegal,3.232888164,5.529206325,1.098612289,4.383126767
Serbia,1.88905364,5.119955187,0,4.385459166
Seychelles,3.739906304,3.766856514,3.610917913,5.339240226
Sierra Leone,2.23925327,5.557963286,1.386294361,4.641951042
Singapore,1.714619181,5.06507103,1.609437912,8.976607275
Slovakia,3.627812589,4.984273005,0,4.728526863
Slovenia,3.981977343,5.155762304,0,4.630943891
Solomon Islands,0.793112926,5.867472727,4.521788577,3.123398429
South Africa,2.07921213,5.525740813,4.852030264,3.8500515
South Korea,2.457117842,5.121748768,1.609437912,6.266697209
South Sudan,2.740936874,5.932855542,1.098612289,2.848705111
Spain,3.334545826,4.336414628,2.708050201,4.535508271
Sri Lanka,3.396586732,3.999485937,5.327876169,5.847793077
Sudan,0.82494847,5.135424523,2.397895273,3.094236232
Suriname,2.675536568,4.805809029,1.791759469,1.296658915
Sweden,2.700154274,4.181009209,0,3.206519024
Switzerland,2.268530177,4.577775768,0,5.365433036
Syria,-0.377894475,5.481010254,0.693147181,4.533657572
Tajikistan,3.103629318,5.225529799,0,4.158625242
Tanzania,3.641409795,5.707461639,5.075173815,4.12240258
Thailand,2.934344628,4.049270599,4.682131227,4.908743693
Timor,2.569360114,4.181751544,0.693147181,4.426146481
Togo,3.31858514,5.583485929,0.693147181,4.952597353
Tonga,2.767123204,5.782878862,1.386294361,4.953496488
Trinidad and Tobago,3.420765018,4.432120237,2.197224577,5.597670829
Tunisia,2.068718915,5.296841195,0.693147181,4.298552494
Turkey,-1.521021196,5.219115291,2.944438979,4.657731188
Turkmenistan,1.17812016,4.928140795,0,2.505703889
Uganda,2.776577608,5.737142056,2.079441542,5.324468243
Ukraine,1.382977151,5.71153577,1.386294361,4.348837677
United Arab Emirates,2.887864208,5.005220668,0,4.894737906
United Kingdom,3.356319858,4.412811508,0.693147181,5.609652999
United States,2.564477863,4.490883964,5.958424693,3.570729018
United States Virgin Islands,2.624275341,4.429699366,0.693147181,5.725273685
Uruguay,1.237272733,4.649242044,1.609437912,2.977350731
Honduras,3.173273768,4.863936166,4.189654742,4.434030777
Hungary,3.117841854,5.002057434,0,4.675196375
Iceland,2.898754981,4.314637924,0,1.231228882
India,1.786163743,6.644471514,5.886104031,6.109801476
Indonesia,2.498620218,3.601805741,7.027314514,4.948460635
Iran,2.153404197,5.349516865,2.890371758,3.902595965
Iraq,0.427495395,5.270517929,0,4.460163507
Ireland,2.670089516,4.256010434,0,4.245398151
Israel,2.993058656,4.342739906,1.098612289,5.998062419
Italy,3.069868013,4.103271125,2.890371758,5.326949376
Jamaica,2.767357157,4.785085804,0,5.597309203
Japan,3.380570728,5.068313661,5.049856007,5.851727752
Jordan,0.57130641,5.287577829,0,4.702530322
Kazakhstan,1.1975781,4.860906751,1.609437912,1.89932757
Kenya,2.514737229,5.637531601,4.025351691,4.480065002
Kiribati,3.107292141,5.949405552,1.098612289,4.948260685
Kuwait,2.862239564,5.042637715,0,5.427656271
Kyrgyzstan,1.902509383,5.182919536,0.693147181,3.475561044
Laos,2.81434262,4.046847178,3.17805383,3.405381424
Latvia,2.899844593,5.451681194,0,3.442694338
Lebanon,0.954475764,5.323884849,0,6.502198231
Lesotho,-1.341746779,5.701122922,0,4.232526138
Liberia,1.399040514,5.649143828,1.945910149,3.888114886
Libya,-1.551886865,5.275513956,1.098612289,1.319092206
Lithuania,2.834571303,5.422518421,0,3.810047505
Luxembourg,3.710463371,4.17880506,0,5.502913009
Madagascar,1.720899913,5.865768936,6.507277712,3.783068306
Malawi,3.130090412,5.804890844,2.302585093,5.23336541
Malaysia,2.950699162,3.79789381,5.257495372,4.550423732
Maldives,0.189872706,3.963051216,0,7.411350829
Mali,2.107981628,5.59120727,1.386294361,2.71943576
Malta,3.410697969,4.276047611,0,7.287900442
Marshall Islands,2.477857581,5.795893214,0,5.776154814
